;l_id;v_id_1;v_id_2;voltage;cables;wires;frequency;name;operator;ref;length_m;r_ohmkm;x_ohmkm;c_nfkm;i_th_max_a;from_relation
0;1;1;2;220000;3.0;2.0;50.0;Leitung 2016;TenneT;2016;43396;0.08;0.32;11.5;1.3;67129.0
1;2;3;4;380000;3.0;4.0;50.0;Leitung 3011;TenneT;;72714;0.025;0.25;13.7;2.6;67131.0
2;3;5;6;220000;3.0;2.0;50.0;Leitung 2024;TenneT;1;33954;0.08;0.32;11.5;1.3;67151.0
3;4;7;5;380000;3.0;4.0;50.0;Leitung 3026;TenneT;3026;33483;0.025;0.25;13.7;2.6;67153.0
4;5;8;9;380000;6.0;4.0;50.0;KKW Krümmel - UW Lüneburg;TenneT;;28172;0.0125;0.125;27.4;5.2;67585.0
5;6;10;11;220000;3.0;2.0;50.0;295;50Hertz;295;27550;0.08;0.32;11.5;1.3;69042.0
6;7;11;12;220000;3.0;2.0;50.0;293;50Hertz;293;45776;0.08;0.32;11.5;1.3;69043.0
7;8;10;12;220000;3.0;2.0;50.0;294;50Hertz;294;68345;0.08;0.32;11.5;1.3;69045.0
8;9;13;14;220000;3.0;2.0;50.0;Oba-Nfi I;TenneT TSO GmbH;263;39279;0.08;0.32;11.5;1.3;69488.0
9;10;13;15;380000;3.0;2.0;;Oba-Oh;transpower;461;44134;0.05;0.5;6.85;1.3;69489.0
10;11;16;5;380000;3.0;4.0;50.0;Leitung 3023;TenneT;2;36262;0.025;0.25;13.7;2.6;71281.0
11;12;17;18;380000;3.0;3.0;50.0;518;50Hertz;518;200169;0.033333;0.333333;10.275;1.95;109962.0
12;13;17;12;380000;3.0;3.0;50.0;520;50Hertz;520;24249;0.033333;0.333333;10.275;1.95;109969.0
13;14;13;15;380000;3.0;2.0;;Oberbachern - Ottenhofen;transpower;462;44206;0.05;0.5;6.85;1.3;112804.0
14;15;14;15;220000;6.0;2.0;50.0;Nfi-Oh;;"286;287";5431;0.04;0.16;23.0;2.6;112810.0
15;16;13;19;220000;6.0;2.0;50.0;OBR-OBA;TenneT;"269;270";30997;0.04;0.16;23.0;2.6;114252.0
16;17;20;21;380000;3.0;2.0;50.0;Hamburg/Ost - Hamburg/Nord;50Hertz;A;31297;0.05;0.5;6.85;1.3;114696.0
17;18;20;22;380000;3.0;4.0;;Brunsbüttel - Hamburg/Nord;50Hertz;G;57400;0.025;0.25;13.7;2.6;114718.0
18;19;20;23;220000;3.0;;;UW HH-Nord - UW Ulzburg;;;3314;;;;;114723.0
19;20;23;24;220000;6.0;;50.0;UW Hamburg Nord - UW Audorf;TenneT;;62941;;;;;114724.0
20;21;25;26;380000;6.0;;50.0;308 AKW Brokdorf - UW Wilster;TenneT;308;8184;;;;;114738.0
21;22;25;22;380000;3.0;;50.0;309 AKW Brunsbüttel - UW Wilster;TenneT;309;10279;;;;;114742.0
22;23;23;27;220000;3.0;;;AKW Stade - UW Hamburg Nord;TenneT;;41967;;;;;114747.0
23;24;28;23;220000;3.0;;;UW Kummerfeld - UW Hamburg Nord;TenneT;;19430;;;;;114752.0
24;25;8;21;380000;3.0;;50.0;"991;992";50Hertz;"991;992";28585;;;;;114782.0
25;26;9;29;380000;;4.0;50.0;3021 Lüneburg - Stadorf;TenneT;;25578;;;;;114789.0
26;27;31;32;380000;3.0;3.0;50.0;449 Mecklar - Vieselbach;50Hertz;449;129896;0.033333;0.333333;10.275;1.95;129420.0
27;28;32;33;380000;3.0;3.0;50.0;454 Eisenach - Vieselbach;50Hertz;454;72628;0.033333;0.333333;10.275;1.95;129422.0
28;29;34;35;220000;3.0;2.0;50.0;209 weiß;TenneT;209;5847;0.08;0.32;11.5;1.3;138889.0
29;30;35;36;220000;3.0;2.0;50.0;211 rot;TenneT;211;2651;0.08;0.32;11.5;1.3;138892.0
30;31;2;6;220000;3.0;2.0;50.0;Leitung 2008;TenneT;2008;74543;0.08;0.32;11.5;1.3;142684.0
31;32;37;10;380000;3.0;3.0;50.0;494;50Hertz;494;104147;0.033333;0.333333;10.275;1.95;145483.0
32;33;10;38;380000;3.0;3.0;50.0;498;50Hertz;498;29660;0.033333;0.333333;10.275;1.95;145484.0
33;34;37;38;380000;3.0;3.0;50.0;493;50Hertz;493;124549;0.033333;0.333333;10.275;1.95;145485.0
34;35;39;40;380000;3.0;3.0;50.0;513;50Hertz;513;195839;0.033333;0.333333;10.275;1.95;145508.0
35;36;39;41;380000;3.0;3.0;50.0;516;50Hertz;516;75663;0.033333;0.333333;10.275;1.95;145509.0
36;37;18;42;380000;3.0;3.0;50.0;512;50Hertz;512;148947;0.033333;0.333333;10.275;1.95;145513.0
