;v_id;lon;lat;typ;voltage;frequency;name;operator;ref
0;1;9.52257601112577;52.3604090734199;substation;"220000;110000";50;Hannover/West;"TenneT;EON_Netz";
1;2;9.11321011483187;52.5438533448625;substation;220000;50;Umspannwerk Kraftwerk Robert Frank;TenneT;
2;3;9.38974515063535;52.0263130791669;substation;"380000;110000";50;UW Grohnde 380 kV / 110 kV;TenneT;
3;4;9.12526574244048;52.5382641233458;substation;"380000;220000";50;Landesbergen;TenneT TSO GmbH;
4;5;10.366274939217;52.2846467643429;substation;"380000;220000";50;Wahle;TenneT;
5;6;9.91814868737007;52.3799963378317;substation;"220000;110000";50;TenneT TSO GmbH - Betriebszentrum Lehrte;TenneT_TSO;
6;7;9.9171797569037;52.2781686248742;substation;"380000;110000";50;Algermissen;TenneT;
7;8;10.4149924241538;53.4126068813272;substation;"380000;110000";;Krümmel;50Hertz;
8;9;10.3787706356666;53.2197927695925;substation;"380000;110000";50;Lüneburg;EON_Netz;LUEN
9;10;12.9416466491702;52.5621144028949;substation;"380000;220000;110000";;Wustermark;"50Hertz Transmission GmbH;E.ON edis AG";Wu
10;11;13.2061030014846;52.6571363047161;substation;220000;50;Hennigsdorf;50Hertz Transmission;
11;12;13.709669749528;52.5397952998981;substation;"380000;220000;110000";50;Neuenhagen;50Hertz Transmission GmbH;NHG TCC
12;13;11.3704263094168;48.2914922548393;substation;"380000;220000;110000";;Umspannwerk Oberbachern;"TenneT TSO GmbH;E.ON Netz GmbH";OBA
13;14;11.8132329291411;48.2212664672329;substation;"220000;110000";;Umspannwerk Neufinsing;'TenneT TSO GmbH; E.ON Netz GmbH'
14;15;11.868156362746;48.206802931481;substation;"380000;220000";50;Umspannwerk Ottenhofen;TenneT TSO GmbH;OH
15;16;10.7610404155909;52.3677293936344;substation;380000;50;Umspannwerk Hattorf;EON_Netz;
16;17;13.4947634286677;52.5897644694349;substation;"380000;110000";50;Umspannwerk Malchow;"50Hertz;Stromnetz Berlin";MOW
17;18;13.6834769799404;54.1390906728297;substation;"380000;220000";;Umspannwerk Lubmin;50Hertz;
18;19;11.2939727766244;48.0520427780619;substation;"220000;110000";;Umspannwerk Oberbrunn;'TenneT TSO GmbH; E.ON Netz GmbH'
19;20;9.98460987842098;53.7411288196703;substation;"380000;220000;110000";50;Umspannwerk Hamburg-Nord;50Hertz Transmission;
20;21;10.1575057595216;53.5551266364644;substation;"380000;110000";50;Umspannwerk Hamburg/Ost;"50Hertz Transmission;Stromnetz Hamburg GmbH";
21;22;9.20210266340539;53.8951623622383;substation;"380000;220000;110000";50;Umspannwerk Kernkraftwerk Brunsbüttel;50Hertz Transmission;
22;23;9.98853665499904;53.7662776782512;substation;"220000;110000;30000";50;Hamburg Nord;"TenneT;Schleswig-Holstein Netz AG";
23;24;9.72699275106814;54.2914209859116;substation;"220000;110000";50;Audorf;"TenneT;Schleswig-Holstein Netz AG";
24;25;9.34476101692227;53.9218370813918;substation;380000;50;Umspannwerk Wilster;TenneT;
25;26;9.34400181356048;53.8517774981988;substation;"380000;220000";;Brokdorf;TenneT;
26;27;9.52960514781347;53.618990731832;substation;"220000;110000";50;Stade;;
27;28;9.77654483603303;53.6906352940911;substation;"220000;110000";50;Kummerfeld;TenneT;
28;29;10.3822011082464;52.9932426669735;substation;380000;50;Stadorf;TenneT;
29;30;9.50178971212981;53.5428143880013;substation;"380000;220000;110000";50;Dollern;;
30;31;9.74615085631454;50.9168400022101;substation;"380000;110000";50;Mecklar;EON_Netz;
31;32;11.1228546271538;50.9989090757631;substation;"380000;220000;110000";50;Umspannwerk Vieselbach;50Hertz Transmission GmbH;
32;33;10.3859411718194;51.0018133141165;substation;"380000;110000";50;Eisenach;50Hertz;
33;34;8.122642304058;53.5605160665145;substation;"380000;220000";50;Umspannwerk Maade;TenneT;MAAD
34;35;8.08565060815886;53.6058342194744;substation;"220000;110000";50;Voslapp;"TenneT;EON_Netz";VOSL
35;36;8.06005701182283;53.6202026205826;substation;"220000;155000";50;Inhausen;TenneT;INHA
36;37;11.6389126099956;52.2687358982154;substation;"380000;220000";;Umspannwerk Wolmirstedt;50Hertz Transmission GmbH;
37;38;13.2115276810432;52.5806278358522;substation;"380000;110000";50;Teufelsbruch;50Hertz Transmission;
38;39;11.727353429381;52.5689470103264;substation;"380000;110000";50;Stendal/West;50Hertz Transmission GmbH;StW
39;40;13.1433929675199;53.9081470154338;substation;"380000;110000";50;Siedenbrünzow;50Hertz Transmission GmbH;
40;41;11.8531051573669;53.0865440610132;substation;"380000;110000";;Umspannwerk Perleberg;"50Hertz;EON_Avacon";
41;42;12.1869848529515;53.8157751978716;substation;"380000;220000";50;Güstrow;50Hertz;
42;43;12.4993660253653;52.4052284426773;substation;"220000;110000";;Brandenburg-West;50Hertz Transmission GmbH;
43;44;13.5061280249068;52.4738227039188;substation;"220000;110000";50;Umspannwerk Wuhlheide;"50Hertz;Vattenfall Europe AG";
44;45;13.3057533352426;52.2307818607751;substation;"380000;220000;110000";50;Thyrow;50Hertz Transmission GmbH;
45;46;13.5241987812625;52.5356343208068;substation;"380000;220000;110000";50;Umspannwerk Marzahn;50Hertz;MZA9
46;47;13.4564307414427;52.521451771614;substation;"380000;110000";50;Umspannwerk Friedrichshain;"Vattenfall Europe AG;50Hertz";
47;48;13.5370284535837;52.5374809881862;substation;110000;50;Umspannwerk Biesdorf Nord;Stromnetz Berlin;BIN
48;49;10.9993330683763;52.2001420103124;substation;"380000;110000";;Umspannwerk Helmstedt;TenneT TSO GmbH;
49;50;10.9772332757472;52.1694333350195;plant;;;Kraftwerk Buschhaus;E.ON Kraftwerke GmbH;
50;51;9.25938384941478;51.0603668957955;substation;"380000;110000";50;Umspannwerk Borken;TenneT;
51;52;8.31334018942867;49.0090434774209;substation;"380000;220000;110000";50;Karlsruhe-Daxlanden;EnBW;
52;53;7.75349549403634;48.0993557332288;substation;"380000;220000;110000";50;380-kV-Umspannwerk Eichstetten;EnBW;
